Entity,Code,Year,GDP per Capita,Region,Population,Outdoor air pollution,High systolic blood pressure,Diet high in sodium,Diet low in whole grains,Alcohol use,Diet low in fruits,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Household air pollution from solid fuels,Diet low in vegetables,Low physical activity,Smoking,High fasting plasma glucose,Air pollution,High body-mass index,Unsafe sanitation,No access to handwashing facility,Drug use,Low bone mineral density,Vitamin A deficiency,Child stunting,Discontinued breastfeeding,Non-exclusive breastfeeding,Iron deficiency
Mali,MLI,2019,891,Africa,19658031,3424,11212,1116,1437,2071,1416,11881,1235,28277,28540,4722,251,22580,1187,403,3602,7433,25872,5318,8819,7736,182,513,699,2369,97,1849,900
Malta,MLT,2019,29416,Europe,440372,163,847,78,242,110,57,0,54,10,1,9,27,0,20,182,551,700,162,369,0,2,21,31,0,0,0,0,0
Marshall Islands,MHL,2019,3925,Oceania,58791,12,83,14,20,10,14,4,16,8,4,8,2,24,13,9,53,104,36,74,2,1,4,1,0,0,0,0,0
Mauritania,MRT,2019,1678,Africa,4525696,1428,2666,236,423,165,391,1279,211,1757,1098,223,243,1208,262,332,703,1394,2628,1755,932,794,8,123,20,98,10,178,98
Mauritius,MUS,2019,11204,Africa,1198575,606,2714,532,414,340,372,6,393,70,24,121,49,14,130,332,1041,3604,621,2236,3,4,119,39,0,1,0,1,1
Mexico,MEX,2019,9863,Americas,127575529,38854,129019,13030,15806,49889,6737,2394,10458,9817,8619,10872,6842,9854,7605,11983,48393,157908,48332,125591,953,1544,4009,5002,16,245,49,522,141
Micronesia (country),FSM,2019,3718,Oceania,113815,32,178,30,44,22,31,6,38,7,5,46,4,48,27,24,167,248,80,218,3,2,8,4,0,0,0,0,0
Moldova,MDA,2019,4499,Europe,4043263,2141,14997,793,2642,3800,1152,5,731,114,17,320,1479,282,779,957,5921,4426,2419,6769,4,41,473,111,0,1,0,7,1
Mongolia,MNG,2019,4295,Asia,3225167,2266,6318,833,1301,3340,1184,36,532,402,153,183,692,1009,687,178,3766,1119,3268,3587,29,52,415,84,0,19,1,29,8
Montenegro,MNE,2019,8832,Europe,627987,571,2295,703,319,492,66,0,244,9,1,24,102,168,13,93,1761,1453,738,1218,0,1,22,29,0,0,0,0,0
Morocco,MAR,2019,3204,Africa,36471769,27728,79904,2552,19647,1108,1786,959,6616,4771,1313,1587,5133,1679,1907,10683,21382,48117,29249,41920,301,636,1030,1720,21,127,32,325,94
Mozambique,MOZ,2019,492,Africa,30366036,1956,22250,3310,2092,4925,2985,7638,1333,19072,10596,54375,303,25017,2133,309,8058,12143,26921,7744,5694,6307,829,828,266,1392,62,1523,492
Myanmar,MMR,2019,1408,Asia,54045420,26148,85790,17774,7526,20452,12265,5541,10887,13907,6163,5599,134,49223,5895,3834,60039,68004,74544,31197,3355,3515,5833,2589,59,636,16,1026,295
Namibia,NAM,2019,4957,Africa,2494530,827,2400,150,282,1034,319,551,228,785,485,3465,170,775,199,217,1150,1804,1591,1559,348,359,155,73,3,36,7,69,13
Nauru,NRU,2019,9397,Oceania,10756,1,16,2,3,3,2,0,3,2,1,1,0,0,2,1,11,15,2,16,0,0,1,0,0,0,0,0,0
Nepal,NPL,2019,1071,Asia,28608710,23974,23697,3144,3640,6831,3102,4705,4436,8329,3030,2052,2606,21603,2429,1569,34201,15513,42115,9145,2669,1971,898,1599,26,324,3,272,308
